Test Case Identifier,Test Execution,Status,Comment,Requirement
"TC-ORI-773-CT-STE-COORD-01","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Cliquer bouton Modifier de l encadre Coordonnees Legales"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-773"
"TC-ORI-773-CT-STE-COORD-02","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Cliquer Enregistrer"" nécessite une action persistante (Enregistrer) — bloquée par garde non-persistance","ORI-773"
"TC-ORI-773-CT-STE-COORD-03","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Enregistrer"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-773"
"TC-ORI-773-CT-STE-COORD-04","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Cliquer Enregistrer"" nécessite une action persistante (Enregistrer) — bloquée par garde non-persistance","ORI-773"
"TC-ORI-773-CT-STE-COORD-05","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Cliquer Completer via le SIREN"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-773"
"TC-ORI-773-CT-STE-COORD-06","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Revenir a l etape Coordonnees Legales"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-773"
"TC-ORI-773-CT-STE-COORD-07","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Enregistrer"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-773"
"TC-ORI-773-CT-STE-COORD-08","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Corriger tous les champs avec valeurs conformes"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-773"
"TC-ORI-783-CT-ETAB-01","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Cliquer Modifier encadre Aspects Juridiques"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-783"
"TC-ORI-783-CT-ETAB-02","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Cliquer Enregistrer"" nécessite une action persistante (Enregistrer) — bloquée par garde non-persistance","ORI-783"
"TC-ORI-783-CT-ETAB-03","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Cliquer Completer via le SIRET"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-783"
"TC-ORI-783-CT-ETAB-04","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Cliquer Enregistrer"" nécessite une action persistante (Enregistrer) — bloquée par garde non-persistance","ORI-783"
"TC-ORI-783-CT-ETAB-05","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","étapes 5/5, assertions 0/2","ORI-783"
