issueKey,caseId,severity,statut,module,priority,scenario,descriptionTechnique,rg,preuve,video
"ORI-1039","CT-DURF-02","bloquant","blocked-flow","MP3 > SP3.2","P1","RG_CONT_Hmens_14 - Affichage temps reel des heures mensuelles (champ lecture seule UI)","Étape ""Cliquer dans le champ mensuel et tenter de saisir"" : élément cible introuvable sur INT2 (parcours bloqué ici)","RG_CONT_Hmens_14","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1039/CT-DURF-02/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1039/CT-DURF-02/journey.mp4"
"ORI-1039","CT-DURF-03","bloquant","blocked-flow","MP3 > SP3.2","P1","RG_CONT_Temps_15 - Radio Temps plein/partiel : selection UI et effets d'affichage conditionnel","Étape ""Cliquer Temps partiel, observer l'UI"" : élément cible introuvable sur INT2 (parcours bloqué ici)","RG_CONT_Temps_15","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1039/CT-DURF-03/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1039/CT-DURF-03/journey.mp4"
"ORI-1039","CT-DURF-04","bloquant","blocked-flow","MP3 > SP3.2","P2","RG_CONT_TauxP_16 - Affichage temps reel du taux temps plein (%) (lecture seule UI)","Étape ""Tenter saisie dans le champ taux"" : élément cible introuvable sur INT2 (parcours bloqué ici)","RG_CONT_TauxP_16","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1039/CT-DURF-04/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1039/CT-DURF-04/journey.mp4"
"ORI-1039","CT-DURF-05","bloquant","blocked-flow","MP3 > SP3.2","P1","RG_CONT_ModOrg_38_V2 - Liste deroulante mode d'organisation (Forfait jours masque, affichage conditionnel)","Étape ""Revenir Hebdomadaire fixe"" : élément cible introuvable sur INT2 (parcours bloqué ici)","RG_CONT_ModOrg_38_V2","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1039/CT-DURF-05/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1039/CT-DURF-05/journey.mp4"
"ORI-1039","CT-DURF-07","bloquant","blocked-flow","MP3 > SP3.2","P1","RG_CONT_DerogTP_39 - Liste derogation < 24h : apparition conditionnelle et message bloquant","Étape ""Porter hebdo a 24"" : élément cible introuvable sur INT2 (parcours bloqué ici)","RG_CONT_DerogTP_39","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1039/CT-DURF-07/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1039/CT-DURF-07/journey.mp4"
"ORI-1039","CT-DURF-08","bloquant","blocked-flow","MP3 > SP3.2","P2","RG_CONT_Compl_40 - Affichage du plafond heures complementaires (lecture seule, conditionnel)","Étape ""Passer en temps plein"" : élément cible introuvable sur INT2 (parcours bloqué ici)","RG_CONT_Compl_40","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1039/CT-DURF-08/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1039/CT-DURF-08/journey.mp4"
"ORI-1039","CT-DURF-09","bloquant","blocked-flow","MP3 > SP3.2","P1","RG_CONT_Mutuelle_42 - Alerte seuil mutuelle : affichage/masquage dynamique du message","Étape ""Porter hebdo a 24"" : élément cible introuvable sur INT2 (parcours bloqué ici)","RG_CONT_Mutuelle_42","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1039/CT-DURF-09/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1039/CT-DURF-09/journey.mp4"
"ORI-1039","CT-DURF-10","bloquant","blocked-flow","MP3 > SP3.2","P1","RG_CONT_TickResto_44 - Alerte seuil tickets restaurant : affichage dynamique selon seuil marque","Étape ""Porter hebdo a 24"" : élément cible introuvable sur INT2 (parcours bloqué ici)","RG_CONT_TickResto_44","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1039/CT-DURF-10/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1039/CT-DURF-10/journey.mp4"
"ORI-1039","CT-DURF-11","bloquant","blocked-flow","MP3 > SP3.2","P1","Conformite maquette Figma et enchainement des affichages conditionnels (UI globale)","Étape ""Enchainer temps plein -> partiel -> ATT -> Hebdo fixe"" : élément cible introuvable sur INT2 (parcours bloqué ici)","","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1039/CT-DURF-11/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1039/CT-DURF-11/journey.mp4"
"ORI-1039","CT-DURF-12","bloquant","blocked-flow","MP3 > SP3.2","P2","Accessibilite et etats des champs (focus, tab, aria, etats desactives)","Étape ""Naviguer au clavier (Tab) sur l'ensemble des champs"" : élément cible introuvable sur INT2 (parcours bloqué ici)","","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1039/CT-DURF-12/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1039/CT-DURF-12/journey.mp4"
