"issueKey","title","status","expectedStatus","durationMs","retries","error","attachments"
"","orion-auth.setup.ts > authenticate INT2","skipped","skipped","311","0","",""
"ORI-688","int2-ihm-sprint13-recette-23-batch2.spec.ts > ORI-688: Afficher État Pointages Planning > AC1: État pointages s'affiche dans vue planning (week/day)","failed","passed","139","0","TypeError: _env.routes.planningList is not a function","/Users/yacinebenhamou/Documents/playwrightOrion/int2-ihm-test-results/orion-pipeline/artifacts/int2-ihm-sprint13-recette--9a681-dans-vue-planning-week-day--orion-pipeline/test-failed-1.png | /Users/yacinebenhamou/Documents/playwrightOrion/int2-ihm-test-results/orion-pipeline/artifacts/int2-ihm-sprint13-recette--9a681-dans-vue-planning-week-day--orion-pipeline/video.webm | /Users/yacinebenhamou/Documents/playwrightOrion/int2-ihm-test-results/orion-pipeline/artifacts/int2-ihm-sprint13-recette--9a681-dans-vue-planning-week-day--orion-pipeline/error-context.md | /Users/yacinebenhamou/Documents/playwrightOrion/int2-ihm-test-results/orion-pipeline/artifacts/int2-ihm-sprint13-recette--9a681-dans-vue-planning-week-day--orion-pipeline/trace.zip"
"ORI-688","int2-ihm-sprint13-recette-23-batch2.spec.ts > ORI-688: Afficher État Pointages Planning > AC2: États reflètent état réel en base (Attendu, Validé, Rejeté, En attente)","failed","passed","136","0","TypeError: _env.routes.planningList is not a function","/Users/yacinebenhamou/Documents/playwrightOrion/int2-ihm-test-results/orion-pipeline/artifacts/int2-ihm-sprint13-recette--b4ec3-u-Validé-Rejeté-En-attente--orion-pipeline/test-failed-1.png | /Users/yacinebenhamou/Documents/playwrightOrion/int2-ihm-test-results/orion-pipeline/artifacts/int2-ihm-sprint13-recette--b4ec3-u-Validé-Rejeté-En-attente--orion-pipeline/video.webm | /Users/yacinebenhamou/Documents/playwrightOrion/int2-ihm-test-results/orion-pipeline/artifacts/int2-ihm-sprint13-recette--b4ec3-u-Validé-Rejeté-En-attente--orion-pipeline/error-context.md | /Users/yacinebenhamou/Documents/playwrightOrion/int2-ihm-test-results/orion-pipeline/artifacts/int2-ihm-sprint13-recette--b4ec3-u-Validé-Rejeté-En-attente--orion-pipeline/trace.zip"
"ORI-688","int2-ihm-sprint13-recette-23-batch2.spec.ts > ORI-688: Afficher État Pointages Planning > AC3: Couleurs/icônes pour états distincts conformes maquettes","failed","passed","136","0","TypeError: _env.routes.planningList is not a function","/Users/yacinebenhamou/Documents/playwrightOrion/int2-ihm-test-results/orion-pipeline/artifacts/int2-ihm-sprint13-recette--60aa4-stincts-conformes-maquettes-orion-pipeline/test-failed-1.png | /Users/yacinebenhamou/Documents/playwrightOrion/int2-ihm-test-results/orion-pipeline/artifacts/int2-ihm-sprint13-recette--60aa4-stincts-conformes-maquettes-orion-pipeline/video.webm | /Users/yacinebenhamou/Documents/playwrightOrion/int2-ihm-test-results/orion-pipeline/artifacts/int2-ihm-sprint13-recette--60aa4-stincts-conformes-maquettes-orion-pipeline/error-context.md | /Users/yacinebenhamou/Documents/playwrightOrion/int2-ihm-test-results/orion-pipeline/artifacts/int2-ihm-sprint13-recette--60aa4-stincts-conformes-maquettes-orion-pipeline/trace.zip"
"ORI-688","int2-ihm-sprint13-recette-23-batch2.spec.ts > ORI-688: Afficher État Pointages Planning > AC4: Clic sur état ouvre détail/modal pointages","failed","passed","135","0","TypeError: _env.routes.planningList is not a function","/Users/yacinebenhamou/Documents/playwrightOrion/int2-ihm-test-results/orion-pipeline/artifacts/int2-ihm-sprint13-recette--3688d-uvre-détail-modal-pointages-orion-pipeline/test-failed-1.png | /Users/yacinebenhamou/Documents/playwrightOrion/int2-ihm-test-results/orion-pipeline/artifacts/int2-ihm-sprint13-recette--3688d-uvre-détail-modal-pointages-orion-pipeline/video.webm | /Users/yacinebenhamou/Documents/playwrightOrion/int2-ihm-test-results/orion-pipeline/artifacts/int2-ihm-sprint13-recette--3688d-uvre-détail-modal-pointages-orion-pipeline/error-context.md | /Users/yacinebenhamou/Documents/playwrightOrion/int2-ihm-test-results/orion-pipeline/artifacts/int2-ihm-sprint13-recette--3688d-uvre-détail-modal-pointages-orion-pipeline/trace.zip"
"ORI-688","int2-ihm-sprint13-recette-23-batch2.spec.ts > ORI-688: Afficher État Pointages Planning > AC5: Mise à jour temps réel fonctionne (WebSocket/polling)","failed","passed","134","0","TypeError: _env.routes.planningList is not a function","/Users/yacinebenhamou/Documents/playwrightOrion/int2-ihm-test-results/orion-pipeline/artifacts/int2-ihm-sprint13-recette--5f9d7-nctionne-WebSocket-polling--orion-pipeline/test-failed-1.png | /Users/yacinebenhamou/Documents/playwrightOrion/int2-ihm-test-results/orion-pipeline/artifacts/int2-ihm-sprint13-recette--5f9d7-nctionne-WebSocket-polling--orion-pipeline/video.webm | /Users/yacinebenhamou/Documents/playwrightOrion/int2-ihm-test-results/orion-pipeline/artifacts/int2-ihm-sprint13-recette--5f9d7-nctionne-WebSocket-polling--orion-pipeline/error-context.md | /Users/yacinebenhamou/Documents/playwrightOrion/int2-ihm-test-results/orion-pipeline/artifacts/int2-ihm-sprint13-recette--5f9d7-nctionne-WebSocket-polling--orion-pipeline/trace.zip"
"ORI-688","int2-ihm-sprint13-recette-23-batch2.spec.ts > ORI-688: Afficher État Pointages Planning > AC6: Filtres planning s'appliquent aussi aux pointages","failed","passed","141","0","TypeError: _env.routes.planningList is not a function","/Users/yacinebenhamou/Documents/playwrightOrion/int2-ihm-test-results/orion-pipeline/artifacts/int2-ihm-sprint13-recette--61910-liquent-aussi-aux-pointages-orion-pipeline/test-failed-1.png | /Users/yacinebenhamou/Documents/playwrightOrion/int2-ihm-test-results/orion-pipeline/artifacts/int2-ihm-sprint13-recette--61910-liquent-aussi-aux-pointages-orion-pipeline/video.webm | /Users/yacinebenhamou/Documents/playwrightOrion/int2-ihm-test-results/orion-pipeline/artifacts/int2-ihm-sprint13-recette--61910-liquent-aussi-aux-pointages-orion-pipeline/error-context.md | /Users/yacinebenhamou/Documents/playwrightOrion/int2-ihm-test-results/orion-pipeline/artifacts/int2-ihm-sprint13-recette--61910-liquent-aussi-aux-pointages-orion-pipeline/trace.zip"
"ORI-723","int2-ihm-sprint13-recette-23-batch2.spec.ts > ORI-723: Créer Contrat Intervenant - Durée Travail > AC1: Onglet 4 ""Durée travail"" s'affiche en formulaire création","failed","passed","135","0","TypeError: _env.routes.collaboratorsList is not a function","/Users/yacinebenhamou/Documents/playwrightOrion/int2-ihm-test-results/orion-pipeline/artifacts/int2-ihm-sprint13-recette--e6ed0-iche-en-formulaire-création-orion-pipeline/test-failed-1.png | /Users/yacinebenhamou/Documents/playwrightOrion/int2-ihm-test-results/orion-pipeline/artifacts/int2-ihm-sprint13-recette--e6ed0-iche-en-formulaire-création-orion-pipeline/video.webm | /Users/yacinebenhamou/Documents/playwrightOrion/int2-ihm-test-results/orion-pipeline/artifacts/int2-ihm-sprint13-recette--e6ed0-iche-en-formulaire-création-orion-pipeline/error-context.md | /Users/yacinebenhamou/Documents/playwrightOrion/int2-ihm-test-results/orion-pipeline/artifacts/int2-ihm-sprint13-recette--e6ed0-iche-en-formulaire-création-orion-pipeline/trace.zip"
"ORI-723","int2-ihm-sprint13-recette-23-batch2.spec.ts > ORI-723: Créer Contrat Intervenant - Durée Travail > AC2: Champs durée (min, max, moyenne) présents et validés","failed","passed","137","0","TypeError: _env.routes.collaboratorsList is not a function","/Users/yacinebenhamou/Documents/playwrightOrion/int2-ihm-test-results/orion-pipeline/artifacts/int2-ihm-sprint13-recette--78993-moyenne-présents-et-validés-orion-pipeline/test-failed-1.png | /Users/yacinebenhamou/Documents/playwrightOrion/int2-ihm-test-results/orion-pipeline/artifacts/int2-ihm-sprint13-recette--78993-moyenne-présents-et-validés-orion-pipeline/video.webm | /Users/yacinebenhamou/Documents/playwrightOrion/int2-ihm-test-results/orion-pipeline/artifacts/int2-ihm-sprint13-recette--78993-moyenne-présents-et-validés-orion-pipeline/error-context.md | /Users/yacinebenhamou/Documents/playwrightOrion/int2-ihm-test-results/orion-pipeline/artifacts/int2-ihm-sprint13-recette--78993-moyenne-présents-et-validés-orion-pipeline/trace.zip"
"ORI-723","int2-ihm-sprint13-recette-23-batch2.spec.ts > ORI-723: Créer Contrat Intervenant - Durée Travail > AC3: Calculs durée attendue vs réelle côté backend","failed","passed","134","0","TypeError: _env.routes.collaboratorsList is not a function","/Users/yacinebenhamou/Documents/playwrightOrion/int2-ihm-test-results/orion-pipeline/artifacts/int2-ihm-sprint13-recette--b415f-ndue-vs-réelle-côté-backend-orion-pipeline/test-failed-1.png | /Users/yacinebenhamou/Documents/playwrightOrion/int2-ihm-test-results/orion-pipeline/artifacts/int2-ihm-sprint13-recette--b415f-ndue-vs-réelle-côté-backend-orion-pipeline/video.webm | /Users/yacinebenhamou/Documents/playwrightOrion/int2-ihm-test-results/orion-pipeline/artifacts/int2-ihm-sprint13-recette--b415f-ndue-vs-réelle-côté-backend-orion-pipeline/error-context.md | /Users/yacinebenhamou/Documents/playwrightOrion/int2-ihm-test-results/orion-pipeline/artifacts/int2-ihm-sprint13-recette--b415f-ndue-vs-réelle-côté-backend-orion-pipeline/trace.zip"
