"External ID","Issue Type","Summary","Description","Priority","Labels","Linked Requirement","Test Plan","Test Execution","Test Set"
"TP-LOCAL-SPRINT-11-12-13","Test Plan","ORI - Plan de test local Sprints 11, 12 et 13","Plan local genere depuis le classeur de recette. Aucune ecriture Jira/Xray automatique.","High","orion local-only sprint-11-12-13","","TP-LOCAL-SPRINT-11-12-13","",""
"TE-LOCAL-INT2-SPRINT-11-12-13","Test Execution","ORI - Execution Playwright locale INT2 Sprints 11, 12 et 13","Reference locale pour les resultats Playwright JSON/JUnit/HTML.","High","orion local-only int2 playwright","","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13",""
"TS-ORI-773","Test Set","ORI-773 - Jeu de tests local","Regroupe les cas de test locaux rattaches a ORI-773.","Medium","orion local-only test-set","ORI-773","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-773"
"TS-ORI-783","Test Set","ORI-783 - Jeu de tests local","Regroupe les cas de test locaux rattaches a ORI-783.","Medium","orion local-only test-set","ORI-783","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-783"
"TS-ORI-871","Test Set","ORI-871 - Jeu de tests local","Regroupe les cas de test locaux rattaches a ORI-871.","Medium","orion local-only test-set","ORI-871","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-871"
"TS-ORI-872","Test Set","ORI-872 - Jeu de tests local","Regroupe les cas de test locaux rattaches a ORI-872.","Medium","orion local-only test-set","ORI-872","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-872"
"TS-ORI-873","Test Set","ORI-873 - Jeu de tests local","Regroupe les cas de test locaux rattaches a ORI-873.","Medium","orion local-only test-set","ORI-873","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-873"
"TS-ORI-931","Test Set","ORI-931 - Jeu de tests local","Regroupe les cas de test locaux rattaches a ORI-931.","Medium","orion local-only test-set","ORI-931","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-931"
"TS-ORI-933","Test Set","ORI-933 - Jeu de tests local","Regroupe les cas de test locaux rattaches a ORI-933.","Medium","orion local-only test-set","ORI-933","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-933"
"TS-ORI-1036","Test Set","ORI-1036 - Jeu de tests local","Regroupe les cas de test locaux rattaches a ORI-1036.","Medium","orion local-only test-set","ORI-1036","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-1036"
"TS-ORI-1308","Test Set","ORI-1308 - Jeu de tests local","Regroupe les cas de test locaux rattaches a ORI-1308.","Medium","orion local-only test-set","ORI-1308","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-1308"
"TS-ORI-657","Test Set","ORI-657 - Jeu de tests local","Regroupe les cas de test locaux rattaches a ORI-657.","Medium","orion local-only test-set","ORI-657","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-657"
"TS-ORI-1065","Test Set","ORI-1065 - Jeu de tests local","Regroupe les cas de test locaux rattaches a ORI-1065.","Medium","orion local-only test-set","ORI-1065","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-1065"
"TS-ORI-1067","Test Set","ORI-1067 - Jeu de tests local","Regroupe les cas de test locaux rattaches a ORI-1067.","Medium","orion local-only test-set","ORI-1067","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-1067"
"TS-ORI-723","Test Set","ORI-723 - Jeu de tests local","Regroupe les cas de test locaux rattaches a ORI-723.","Medium","orion local-only test-set","ORI-723","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-723"
"TS-ORI-1039","Test Set","ORI-1039 - Jeu de tests local","Regroupe les cas de test locaux rattaches a ORI-1039.","Medium","orion local-only test-set","ORI-1039","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-1039"
"TS-ORI-91","Test Set","ORI-91 - Jeu de tests local","Regroupe les cas de test locaux rattaches a ORI-91.","Medium","orion local-only test-set","ORI-91","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-91"
"TS-ORI-936","Test Set","ORI-936 - Jeu de tests local","Regroupe les cas de test locaux rattaches a ORI-936.","Medium","orion local-only test-set","ORI-936","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-936"
"TS-ORI-956","Test Set","ORI-956 - Jeu de tests local","Regroupe les cas de test locaux rattaches a ORI-956.","Medium","orion local-only test-set","ORI-956","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-956"
"TS-ORI-1356","Test Set","ORI-1356 - Jeu de tests local","Regroupe les cas de test locaux rattaches a ORI-1356.","Medium","orion local-only test-set","ORI-1356","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-1356"
"TS-ORI-745","Test Set","ORI-745 - Jeu de tests local","Regroupe les cas de test locaux rattaches a ORI-745.","Medium","orion local-only test-set","ORI-745","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-745"
"TS-ORI-769","Test Set","ORI-769 - Jeu de tests local","Regroupe les cas de test locaux rattaches a ORI-769.","Medium","orion local-only test-set","ORI-769","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-769"
"TS-ORI-368","Test Set","ORI-368 - Jeu de tests local","Regroupe les cas de test locaux rattaches a ORI-368.","Medium","orion local-only test-set","ORI-368","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-368"
"TS-ORI-667","Test Set","ORI-667 - Jeu de tests local","Regroupe les cas de test locaux rattaches a ORI-667.","Medium","orion local-only test-set","ORI-667","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-667"
